Replies_subject,relation,Replies_object
calipers,is in,3 places
your actual fillament diameter,take,average
your fillament diameter,use,number
user1430,adjust slightly,esteps of your extruder
3d printer calibration,follow,guidelines
user1430,measured from,first time
your mark,is from,how far point
user1430,measuring up,110 mm of filament
couple,is with,links how do in forum here
your extruder,is solidly mounted to,x carriage
your extruder,is,solidly mounted
full contact,is with,rails themselves
user1430,move,rail bearings
user1430,may have,is
user1430,check,your starting layer height
user1430,can get,excess
user1430,are getting,lifting
user1430,are getting lifting on,small
bearing carrier,was,when made
heat,spread through,entire nozzle area
few minutes,allow,heat
mm,extrude operations into,air
mm,starting,print ensure
user1432,push,filament
user1432,push filament through,nozzle
user1432,push filament with,idler
your mount plate,clear,clog
user1432,see,it looks
swell,is in,heatsink
ipa,does eventually,dry out pei
knob,be,finicky
user1433,even further granularity than,end
positive off-swt value,moves,nozzle higher for less adhesion
answer1433,try,stay
print,pei at,50c
answer1433,stay,aware
my pei,fwiw is starting also to,bubble
answer1433,think,its humidity
answer1433,'m starting,play with raft settings
taz 5 ships,is with,single extruder toolhead
toolheads,are,interchangeable
editions,use,ceramic hotends
lb,on,site
toolheads,require,firmware downgrade
dual hexagon toolhead,is in,works
https://devel.lulzbot.com/taz/accessories/,look for,javelin
user1434,can follow,development
project name descriptions,are at,bottom of page
good pictures,is in,photos directory
user1434,acquire,set
answer1435,had,problem
solutions,listed here without,luck
slow speeds,have,more wobble than faster speeds
answer1435,could get,higher temps
harmonic ripples,is in,taz 5 hot end
answer1435,flashed back,firmware
problem,has,has resolved
answer1435,would definitely recommend,doing so since my taz 4
i would recommend,is,consistent
user1435,accidentally destroy extruder idler out of,frustration
nut,can,can accessed for easy removal
other components,have,screws
nut,happened to,me
drill bit,destroying,one
idler body,just meets,extruder body
drill bit,hits,nut
anyone,still having,issues
taz,has,2 rods
m2,have,issues
user1436,get,flex
issues,is with,excess play on edge furthest from linear rail
z axis,is stable due to,second bearing rod
z axis,is,stable
taz,is,same
taz 4,is,basically same as taz 5 just with different hotend
printers,are,units
answer1436,'m big fan of,fully supported bearing rails
answer1436,'m,much fan
costs,competitive with,other printers
filament size,have,same effect
both,will reduce,feed rate for filament
both,thus allow,melted plastic
clogging,slow build of,pressure in chamber
answer1437,would change diameter size rather than,figure
user1438,are printing with,fillament
fillament,extruding,due
fillament,probably stopped,extruding
fillament diameter,set,wrong in slic3r
user1438,have,should fit in theory
plastic leakage,tends,act like glue
might,be,worth
user1439,are using,slic3r
user1439,print,settings/advanced/first layer
user1439,can adjust,first layer extrusion
something,needing,5v
something,connections for,metal hot ends
pins,are,24v pins
answer1440,pull up,build documents for taz 5
curve transition,could,could confusing s3d
does part look,is in,preview print
taz 4 changes,are,1
printed,cut,z leadscrew
upper z leadscrew,bearing,assembly
user1442,source,bearing
user1442,source,rod
electronics enclosure,imprve,functionality
electronics enclosure,is,cosmetically different
supply,is,new
supply,is,encapsulated
someone,be,interested in
z axis changes,are,most signficant changes overall
more,traveled,taz section of forum
more,get,better answer for this
large bed printer,is with,all up leadscrews on z axis
electronics,are,24 volt
green octopus,is in,abs
user1444,were close to,too bed
user1444,end up with,that lumpy
your fillament diameter settings,is in,your slic3r
fillament,varies in,width
your calipers,take,average
user1444,have there,temperature control issues
user1444,get,blockages
taz,is in,forums
several projects,add,capability
mitsumi,are,your best bets
that,sounds about,about my luck
anyone,is wondering in,case
x,to end is,then y =
following gcode,home hot end to,x
answer1448,'m also using,second method shown above
answer1448,have,two problems
ruler technique,suggested by,ao
answer1448,using,something like top gauge
answer1448,lay on,metal tray
answer1448,instead use,little sliding clip
answer1448,find,timeout on lcd
digital gauge,using,printed bolt
answer1448,needed,buy
all,was,dial indicator itself
i agree,is,essentially impossible
answer1448,agree,measuring to x axis rods from aluminum bed per instructions
needed,is,aluminum plate
plate,has,screws
glass plate,dropping into,machined recess
user1448,have,handles on it
print,is,when done
user1448,can remove,glass
metal parts,are,20 mm
user1449,can source,them
fittings,are mix of,m5 t-slot nuts
fittings,are,mix
user1449,give,look
user1449,give,link
printer,is fed,line of code
printer,is fed line at,time
first layer,is bit close to,too bed
first layer,is,bit
z-axis endstop,screw,adjustment
quarter,turn up at,time
nozzle,reach,temperature
user1454,can push fairly hard against,extruder
user1454,get to,work
your nozzle,using,pla
your nozzle,using,hips
extruder idler,pull out,filament
temperature,is,once reached
user1454,should have,perfect mold of inside of hot end
end,should taper to,cylinder
foreign particles,is in,your mold of nozzle
answer1455,have had,my taz5
answer1455,have run,pla
answer1455,clean tip pretty well though after,print
that,maybe 's keeping,it happy
makergeeks,sells,0.303 mm
answer1455,would look around though for,.30 mm copper wire
mg wire,is,steel
answer1455,suspect over,many uses
lulzbots,are,great printers
user1456,creating objects from,digital data
user1456,creating,objects
fact,adding is to,complexity
user1456,can mitigate,issues
forms,simplify for,process
user1456,get,good print
guys,offer,youtube videos
user1456,rarely print,something complex
user1456,rarely print something complex as,single part
understanding,is,start
will road,is in,fact
materials,require,special print heads like ninjaflex
some,may argue,point
error,can present,problems
problems,very minor error in,range of tenth of millimeter
user1456,can see here,many topics
user1456,deal with,them
user1456,'re,mechanically inclined
answer1456,added,few hundred dollars of upgrades
answer1456,offers,solutions
temperature,is in,build envelope
answer1457,use,design
answer1457,use design as,starting point
but,will,will breeze assemble
i 'm thinking,is,pretty brittle
answer1457,using,petg
answer1457,using petg for,panels acrylic
answer1457,so would go,thicker than 1/8
door opening,is,also pretty small
user1457,finish,yours
answer1457,did go with,acrylic 1/4
answer1457,wanted,unobstructed view from angle
answer1457,kept,it same size
answer1457,work with,more room
answer1457,wanted,laser cut
answer1457,wanted laser cut because of,tolerances
doors,leaving,just 2 mm total clearance
doors,leaving,1 mm
answer1457,remodeled,one
only issue,is,corner bracket
answer1457,reprinting hinge part with,rod
answer1457,reprinting,hinge part
answer1457,did,top 60 % of that at 100 % infill
little,changing,extrusion multiplier
next layers,get messed up,too edit
yea,was,broken wire
answer1459,sent,them
answer1459,sent,my entire extruder
answer1460,sanding,pei
projects,is with,large surface areas on bed
business card,should pass between,nozzle
knob,get,initial setting
z-end,stop,knob
z-offset,is in,gcode
brim,keep,air
answer1460,put,tape
answer1460,put tape on,brim
grab,remove,extruder
left,is with,tweezers
extruder assembly,is,held
extruder assembly,is held to,tool head
user1461,might,might able
back screw,removing,front screw
screw,holding,pulley
answer1462,emailed,support
screw,holding pulley to,x-axis motor drive shaft
user1463,can cut,plexiglas
user1463,can cut,how thick plastic
answer1464,use daily,them
answer1464,have,many 3d printers
answer1464,own,2 cnc mills
answer1464,made,sure
them,make right,things
lulzbot representative,take look via,my serial number i of course
lulzbot representative,take,look
answer1464,saw,response
answer1464,adding,tone
answer1464,had,issues
answer1464,close,post
bed,was,yes taped
holder,bend,holes
tape,was,too aggressively applied
tab,spin out of,way
x-axis belt pinion,was,very loose
my assumption,based,engineering report said
printer,work during,qc
motor,so tight miss,3/4 of its steps
answer1464,have attached,picture of octopus
answer1464,fixed,z
left z axis,was one,bound
answer1464,homed,printer
x beams,were,parallel
x beams,were parallel to,y plane
z axis,is,touchy
lead screw nuts,tolerate,misalignment
answer1464,am in,virginia
printer,was tested in,colorado
printer,was,tested
difference,is in,humidity
taz,needs,some better alignment capabilities for z leadscrew nut
second pic,is,bad print
engineering,was involved,means
engineering,was,involved
instructions,are,available here
any,is,bad
any,clicking from,gears
answer1467,start if with,visual inspection
wade,with,setup
bolts screws,are,tight
filament,moves without,binding
answer1468,have,have 8 diameter
width,can,can removed from final enclosure dimensions
answer1469,was,just testing
test,would only last,about 15 mins so
fuses,2 at,least
answer1469,however had blown,at least 2 fuses
it looks,has,resistance of 0.65 ohms at room temp
answer1469,was using,fuse blew
answer1469,could turn off,power
only decent solution,use pid control for,heat bed
solution,use,pid control
default firmware,is with,that shipped
we can sense limit,is in,firmware
answer1469,post,link
answer1469,post link at_time,probably tomorrow
user1469,could very easily try,something lower
firmware,can help,dr no on bigger fuse
answer1470,got,help
results,is in,case anyone
their,ends in,currently mini
lulzbot,avoid,problems in future
copper,more efficiently conduct,heat
copper,more efficiently conduct heat to,heating block
copper,mesh around,resistor
my faith,is in,my printer
user1471,can move,motors
voltage,is,when applied
user1471,measure,output
user1471,can also set,your multimeter
fuse,is as,there fail-safe
hotend heating element circuit wires,are,red
hotend thermistor circuit wires,are,orange
bed heating element circuit wires,read,1.6 ohms
bed thermistor circuit wires,are,yellow
two-pin connector,reading,resistance across two pins
heating element,is,blown
4.7 ohm heat resistor,needs,replacement
4.7 ohm heat resistor,needs replacement in,case
voltage,being,sent
future 24v taz,will have,change made at factory
user1471,prevent,happening
problem,is in,heating element/thermistor itself
bed/hotend,two-pins for,bed
continuity,is in,leads from board to heating element connector
your multimeter,put,one terminal
user1471,can remove pins from,connectors
user1471,using,pokey thing
everything,seems,ok
100-110c,are recommendations from,lulzbot
100-110c,are,recommendations from lulzbot for pei bed
abs,adhered pretty well to,pei
100-110c,could cause,discoloration of light colored abs
your slicing software,supports,multi-temps
70c,is,good
answer1472,tried,strategy
answer1472,tried strategy for,my latest hips print
air,producing,nice plastic tumbleweed
extra channel,available for,use
part,is known as,full graphic lcd
part,is,known
your polished option,be,different board unfortunatly
answer1474,'d personally send e to,support guys
answer1474,'d personally send,e
answer1475,cleaned pla jam very carefully out of,my 3 mm hexagon
answer1475,cleaned very carefully,pla jam
answer1475,used,1/8 inch bit
answer1475,clean out pla from,top opening
heater,block down to,nozzle
answer1475,bore,about .5 cm
pictures,are in,link below
answer1475,contacted lulzbot support at_time,afternoon
answer1475,contacted,lulzbot support
answer1475,'m in,process attempting
direct contact,is with,heat-sink
pictures,can,can found here
answer1476,try,some
lulzbot taz,will,will there something bigger
answer1476,buy within,few months
answer1476,mad science-ing on,on about year now
answer1476,'m also quite happy with,my taz 4
answer1476,'m,also happy
one,is,weird
answer1476,previously had,lulz-style dually mounted on my printer
stock,smooth,rods
my new extruder,works with,dual-nozzle single-heatsink jobby
hpx2max,is,nice
nozzles,are,always levelled
pla,tends in,all-metal hotends
couple fixes,seasoning hotend by,coating
small amount,is in,oil
other,use,paste
answer1476,personally use,very thick abs/acetone slurry
abs,require,bit more effort at first
pla,use,gluestick
pla,can,can printed on bare glass bed
answer1476,actually usually use,mixture
answer1476,can expand,lulzbot taz 5 printing bed area
user1476,'d need,aluminum extrusions
inches,are,fine
answer1476,'ve printed at,.06 mm layer height
answer1476,'ve had with,nylon
biggest problem,is,adhesion
answer1476,am,apparently addicted
zip ties,of supply is,bolts
answer1476,have,supply of zip ties
answer1476,would do,used to printing
answer1476,get,most of my filament
half car,ride away from,me
user1476,'re,once more accustomed
user1476,find,more interesting materials
answer1476,want in,corner of apartment
extruder,goes directly into,hotend
filament,leaves,gears/motor section
ptfe tube,leading from,there
user1476,need,much higher retraction
answer1476,ran as,bowden
filament,more,lot
lulzbot,has,taz fine abs 0.35 mm nozzle profile
user1478,have,mini blower for hotend heat sink connected to right connector
other fan,is,24v
heatsink fan,runs on,5v
chances,are,little fan
little fan,is,bad
answer1479,first got,taz 5
answer1479,have,same issue
answer1479,show,you
that,has,big
that,has,few
that,has,first
answer1480,'ll give,mu
answer1480,'ll give,you
answer1480,like,105c
answer1480,like,110c
ymmv,try,bumping
ymmv,try bumping up,bed
layer height,is,0.2
user1480,want,help
point,is in,project
new layers,minimize shrinkage,abs cools
new layers,minimize,shrinkage
ambient temperature temps,play here also,part
user1480,can maaake,print smaller
air,gets under,edge of print
user1480,'ll get warping,air gets
user1480,'ll get,warping
brim,helps,seal
z-offset,is in,slicing software
end,stop,knob
user1481,square,everything up to bed
user1481,make,adjustments
dial depth gauge,would,would most quantitatively accurate
nozzle,adjust,z-axis
z-axis,using,feeler card
tip,leave,room
allen wrench,reach,adjustment screw
few points,reevaluate,corners
shape,means,squash
g-code offset variable,is in,your slicer software
user1481,move,machine
bed,is,once level
clean hobbed bot,is with,brush
support,is with,one hand
nozzle,is,clogged
cold pulls,may clear,clog
result,be,conical
result,should,should imprint
answer1482,'ve seen,much better instructions with pictures
details,is in,other thread
answer1483,made print from,cura 's gcode
cura,'s gcode is,standard abs fine profile
answer1483,made,print
fan,was on,on minimum layer-time cooling-logic
cura,has,bridging result
cura 's bridging result,overall was better than,slic3r
cura 's bridging result,was,overall better
slic3r,comparing,two gcode files
cura 's code,would make,bridge
cura,has,code
cura 's code,would make bridge in,one continuous feed with perimeter of layer
tool path,aspect of is,case
answer1483,look at,retraction/ooze-control
answer1483,will have,look
answer1483,'m,pretty inexperienced
cura,had,fan on option
answer1484,still use,8 binder clips
answer1484,'m,also curious
having,is kind of,convenient
having,is,kind
answer1484,gently bend,pei sheet
answer1484,pry pieces off,bed
answer1484,pry,pieces
part,has,base
answer1484,suggested from,other forums
answer1484,literally have,chunk
answer1484,am doing,wrong
filaflex,is bear,get
filaflex,adheres like,abs
answer1484,actually reduce,abs adhesion
answer1486,was,lucky
answer1486,had,it connected correctly
answer1486,checked for,dots on small fan connector
connectors,is in,step 7
your y belt,is,either
pulley,is,loose
bearing,is,gummed up
direction,is,direction
direction,is direction of,belt problem
part,is out of,round
may,also want,check
may,check for,bearing binding on y axis
challenges,is with,open source
silicone pad,keep,temp
nozzle,make,plans catch
answer1489,let,rated
answer1489,used,large locking forceps
answer1489,drilled out,filamemt
answer1489,drilled out filamemt with,low powered hobby
soak,is in,jar of acetone
dig,put,abs
dig,put abs with,toothpick
should clean,is,cleared
your nozzle,use,strand
your nozzle,use strand to,thread
your build plate,make,sure
nozzle,is,dry
heater block,will,will hot
user1489,'ll only have,5-10sec
everything,cool to,20-30c
heat,is with,idler open push filament
folks,moved from,hexagon
hexagon aluminum plate,is,slightly too thin
hexagon aluminum plate,is slightly too thin for,e3d from my limited experimentation
my stock nozzle,was,clogged
prints,were,considerably faster
my original layer height,is with,stock .35
my original layer height,was .2 with,extrusion width of .4
original print time,was,3 hrs cut down to 2 hrs
answer1490,switching to,volcano
answer1490,'d give,.5 mm nozzle
kauri,faces,many revisions
op,thought id give,everyone
my replacement,is making,pulsating electrical hum
answer1492,'d like,know
answer1494,think with,plug in pause at height
my computer,is in,cura
current plug,is in,that
current plug,being used for,current print
plug,being,used
user1494,use,x icon
my factory taz 5,is like,just this
fan,spinning till,about 27 %
ok,thanks for,replying
answer1496,used,kittaz rambo board.enclosure
answer1496,used kittaz rambo board.enclosure on,my hardware
answer1496,'m starting,think
answer1496,think,the
issue,flashed with,firmware
kittaz,was running,marlin 2014q3 revb
answer1496,revert back to,to hex file
answer1496,was attempting,revert
2015q1 version,was,also a
answer1496,flashing directly,tonight
answer1496,flashing tonight directly with,arduino ide
answer1497,'m printing onto,pet sheet
answer1497,'m also applying,liberal amount of lulzjuice
answer1497,tried,make
answer1497,started,using
lulzjuice,b/c,print
answer1497,use lulzjuice with,my prints
answer1497,make yet,switch
answer1497,buying,printinz flex plate
answer1497,buying printinz plate from,adafruit
answer1497,reading,posts in forum about pei
answer1497,had,i originally mentioned
answer1497,using,edge of bade
answer1497,slowly twisted,knife
answer1497,slowly wedge,itself
answer1497,eventually pried off,piece
user1498,remove filament,get
user1498,remove,filament
notched area,is,weak
spool,make,sure
answer1498,'ve had,spools
ceramic,works for,taz4
other,paste,extruder
fan,is in,psu
issue,is rated to,600 °
issue,is,rated
issue,is with,spray adhesive
gasket,is,where compressed between two metal surfaces
answer1501,hate,tape
spot,measure,filament diameter
spot,dial down,flow multiplier
knob,seems,defaults to fr on my taz5
move,is in,slicer program
user1502,have,fragile print
lulz,was out of,stock
he,was,surprised
mistakes,happen,really happy
thing,is with,flat nozzle direct so less
buddy,hitting,bed
answer1505,'ve contacted,support
small hotend fan,read,4.95 v
answer1505,'ve tested,hotend fan
answer1505,finally completed,my first print
answer1505,also loosened,filament idler
idler bolts,as tight as,possible
answer1506,sent,long slow extrusion command
answer1506,so instead left,idler bolts loose
everything,seemed,be grabbing
answer1506,could slowly tighten,bolts
issues,is with,resistance in my extruder
answer1506,second had,issues
answer1506,had recently had pla jam in,ptfe tube
answer1506,had recently had,pla jam
answer1506,clean,that up
user1506,need,more details
answer1506,turning,temp
answer1506,was,able
answer1506,get,good results
answer1506,get results with,my black
answer1506,turning temp up,up 185
filament,is,slightly different
left side fan,already hooked up,up my kittaz
answer1507,upgrade to,new metal hot end
soldering leads,is,easy
thanks,left,side fan duct file
user1508,use,firmware provided with dually
user1508,will,taz 5 will able
user1508,if/when switch back to,hexagon extruder
glass,is,used
user1509,have,steel ruler
user1509,can use,edge
user1509,verify,flat
edge,see,is gap
user1509,just missed,step
answer1510,'d go,i were looking for exact replica
.5 nozzle,requires,less filament than .35 nozzle
nozzle,hit,edge of print
nozzle,hit edge after,few layers
answer1510,pick,small part
answer1510,'d try,gcode
answer1510,pick part as,test
answer1511,'ve observed,lot confusion/misunderstanding
extruder calibration,has,nothing do with hotend
extruder calibration,is determining,number of steps required
stepper,how many steps per,revolution
user1511,can swap,ends
minor effect,is,negligible
user1511,now can use,.3 mm nozzle
user1511,now certainly can use .3 mm nozzle on,on your question
thumb,good rule of is,layer height
.3 mm nozzle,will give,bit better print quality
print,started at,15:46:04 paused
sd init,fail,disconnected
printer,is,now online
sd init,fail,echo
error,stopped due to,errors
link,is in,folders
link,be in,maybe would order
answer1513,so should get,extruder
answer1513,so should get extruder from,taz4
ships,is with,taz
answer1513,will have,parts ready
answer1514,am currently dead in,water
answer1514,am,currently dead
something,do with,new hotend
power supply,burning up,them
answer1515,had,better luck
my e3d v6,using,parts
hexagon hotends,are,shorter
z min end stop,is in,range
groove,mount body from,http://www.thingiverse.com/thing:18379/#files adapter plate
groove,mount,body
yeah,already ordered,thermistors
thermistors,measure,ambient temperature
something,be,tweaked
answer1516,install,second thermistor
something,is,needs
user1516,mentioned,lulzbot dual extruder firmware
answer1516,compare,two
consumer level printers,require,finessing
answer1517,wrote,guides
user1518,going from,pla
hips,causing,a nasty
first layer,smash hips into,bed
second thing,change to,abs
second thing,is,change
answer1518,seemed,recommended
answer1518,purchased,few rolls of hips
answer1518,basically hate,stuff
igus bearings,have,fit
ship,is with,taz
user1519,are indicating here on,my machine
loose fit,has caused,issues
answer1519,run,much higher accelerations
answer1519,am,also able
accelerations,maintain,good print quality
threads,is in,forum
upgrade,is in,detail
answer1519,think without,upgrade
nut,is,misumi mtsrr12
your extruder,working properly before,before same filament
your extruder,started,extruding
filament,looking at,cog
teeth,are filled with,plastic
teeth,are,filled
user1521,should remove,head assembly
user1521,use,tooth picks
set,allowing,one of these
set screws,do require,checking
answer1521,add,locktite
answer1521,had,dollar
answer1521,diagnose,loose set screw
answer1521,helped for,person
spool arm,kink in,filament binding
answer1522,came from,printer with auto-level
user1522,'re,.15 off
z-offset g-code setting,has,has really good to me
answer1522,adjust,m212
answer1522,adjust m212 for,off-set of probe
answer1522,was,used
pei,is good,honest
user1522,once 've got,its almost foolproof
user1522,once 've got,decent first layer squash
answer1522,touch,bed
answer1522,'ve gone so far at_time,week
my sd card,was,blank
answer1523,forgot,mention
user1523,can send,your serial number
motors,are too hot to,touch
motors,are,too hot
answer1524,asked about,this
answer1524,was,told
user1524,want,try
user1524,is on,exposed areas
user1524,get,proper adhesive sheet
lulzbot,does print,test parts
mini ships,is with,yellow hips octopus
hips,is,higher
hips,is higher than,pla
user1525,basically need,purge
user1525,purge at,temp of higher temp material
37-hour print,is in,pla
answer1526,'ve done,37-hour print
print,is,intricate
feed rate,was,very slow
multi-sided internal perimeters,is with,short sides
answer1526,'m sold on,new fan shroud/duct
answer1526,'m,sold
answer1526,ran at,0.55
answer1527,'m going,assume
user1527,using,default lulzbot printing profile
user1527,have something loose at,z
user1527,have loose,something
leadscrews,are,lubricated
leadscrew,are,tight
distance,is,sure identical
user1527,pay attention to,leadscrew interface
user1527,pay attention to,x axis
user1527,may want,ensure
user1527,pay,attention
user1527,swapping out,bearings
whats,odd in,case
z wobble,usally shows up as,other layer slight offset in one direction
printing,is in,layer height
user1527,can upload,one
high resolution picture,might,might helpful
answer1528,was wondering,same thing
firmware,takes,temp difference
answer1528,'m,curious
user1529,printing,sample files
user1529,printing sample files on,sd card
factory,supplied,gcode files print
could setting,is in,slicer
something,came from,weather
anyone,can tell,me
answer1530,'m using medium abs configuration at,.21 layer height
answer1530,'m using,medium abs configuration
bed,is,lower
middle,pass,same business card
corners,barely allow,business
middle,is,easier
answer1532,just got,dial gauge
answer1532,just got dial gauge to,better document
bed,is,flat
pei,has,natural curve
pei,warmed depending,depending thickness
abs adhesion,is,where good in middle of bed
answer1532,'ve gotten to,point
that,is,bad
anything,is in,box
user1533,email,support@lulzbot.com
answer1534,have called,them
them,ask about,items
taz5,was,introduced fairly recently
pei,is,actually really good to printing without enclosure
answer1535,upgraded,my printer
adhesion,increasing,first layer squash
adhesion,was,achieved primarily
answer1535,raise,initial z position
answer1535,was able with,pei
answer1535,was,able
answer1535,raise z position by,almost .5
my first week,is with,taz5
taz5,has done really well as for,smaller intricate prints
60mmx60mm plate,is with,hard corners
answer1535,is,impressed
answer1535,printed,test calibration print consisting of 60mmx60mm plate
corners,were,sharp
cubes,were,dimensionally accurate
stepper,is,bulk
all metal hotend,can print,semiflex
flexystruder,can print,ninjaflex
people,can probably make,their own
your,option,personal opinion
two parts,get really close,tolerances
user1537,can use,glue
user1537,attach,two pieces
user1537,can sand down,surface make
printer,disconnected before,testing
printer,is,powered down
printer,disconnected from,computer
voltage,is,detectable
voltage,coming more specifically out of,connector at board
connector,is in,diagram
answer1539,took apart budaschnozzle at_time,tonight
answer1539,took apart,budaschnozzle
picture,is,pretty clear
answer1539,'ve had,printer for a year
user1540,need,larger nozzle orifice
user1540,print,flexible materials
user1540,print materials at,speed
user1540,can achieve resolution with,0.50 mm nozzle/hot end
user1540,can achieve,resolution
user1540,printing at,finer layer heights
t,0,845 2
carbon fiber filaments,seem like,good idea
fibers,will accelerate much faster,nozzle-wear
users,are reporting trouble,tempting
users,are reporting,trouble
filament,containing,carbon fiber
carbon fiber,benefits of are,strength
interlocking long carbon fiber strands,give,super-strong core
cheaper plywood,is with,smaller fiber length
your prints,are,similar
parts,are,much much stronger
user1541,like,tinker with your machine
designs,are,opensource
printer,is,printable/replaceable/upgradeable
pla,is,common low temp
new special types,are,are released
semiconductive pla,is in,dark
printing large parts,is,challenge
printing large parts,is challenge due to,contraction
some,require,higher temperatures
some,higher temperatures than,standard budaschnozzle permits
ninjaflex,is,highly durable elastomer
ninjaflex,is,durable
ninjaflex,is,suitable
ninjaflex materials,print quite easily with,upgrade
useful models,are,also very possible
lulzbot,on,filament guide
answer1541,do sit unlike,edlink
our cluster operators,are in,room with 135 taz 's round
.35 nozzles,are,good balance
user1541,save only,one budaschnozzle
use,is with,ninjaflex
its properties,are smack between,abs
its properties,are,smack
its properties,looks,nice
answer1541,am hoping for,zero-gravity testing
user1541,find,material properties for any of common printing materials heated to laser etching temps
answer1541,'m,sure
esteps,are,dependent
esteps,are,not dependent on hotend only extruder
many steps,extrude,1 mm of filament
your new hotend,has,nozzle size
your,slicer,most likely cura
user1542,configure,that in your slicer
he,bought,whole extruder assembly for hexagon
tag,is with,calibrated esteps
answer1542,got,new assemblies
answer1543,installed,fangtooth
answer1543,made,thread
answer1543,threw up in,general hardware forum
nozzle,been,great
t,0,1718
answer1543,use,flexible material
answer1543,use material with,this
answer1543,may,may super glad
e3d-v6,coming after,all
pei bed,is on,way as individual component
trust me,is up,straightaway
answer1543,currently use,~ 20 line brim
answer1543,print,parts
pei sheet,is,much lighter
pei sheet,is much lighter than,glass bed
weight reduction,is in,y axis
weight reduction,would,would bonus for me
answer1543,have,my taz4 .5 printing
175mm/s,is with,acceleration set at 2000
cool,looks,nice
protective plastic,can,can removed
pop,be from,full rotation
inner reel hole,has,filament
resistor,is in,hotend
user1546,see,its open
user1546,have,multimeter
user1546,can check,continuity of resistor
wires,crimp,connectors
tiny crimp joints,have failed before on,me
holes,are for,where fan
answer1546,heat again,hot end
point,is in,next week
answer1547,direct,folks off site
user1547,'ll get,much better results
richrap,varying,temperature of pla
richrap,varying temperature,he printed
visual effect,resulted in,cooler in more matte finish
answer1547,keep,word document
user1547,are reading,my strategy post
user1547,can use,simple stls
your filament,understand,their temperature
answer1547,posted,help
user1547,prefer over,rest
community,posted filament journal on,google docs for quick reference
community,posted,filament journal
user1548,get,great results
user1548,can generally print at,about 10 degrees hotter
http://download.lulzbot.com/mini/1.0/pr il bom.ods,is with,hex hot end
picture,showing,effect of it on bed-calibration print
https://www.youtube.com/watch?v=mait-5d7-m4,have,clue/advice
user1552,reflash,firmware depending
answer1552,'m,pretty sure
your computer,usb port for,power savings
high performance,is,selected
answer1554,so discovered in,simplify3d
user1554,have split stl files for,dual extruder part
user1554,use,one extruder
user1554,create,process with 2 extruders
one extruder,is in,your process
track,find,everything for particular stl files
setting,is in,program for menu item
simplfy3d support,been,very responsive
answer1555,should add,offset to z axis on slicer
value,is something,i can add to marlin firmware perhaps
value,is,something
lulzbot,provided,configuration
lulzbot,provided configuration for,material
pla,likes for,me
pla,pull up like,just arms in your photo
sharp change,is in,direction
180 c,at lot is,gizmodorks dark blue pla
your fan,going to,195 c.
answer1557,having,problem
answer1557,having problem at_time,lot at 180 c
answer1558,solve,problem
everything,is,replaced
answer1558,'d got from,makerfarm cheers
two different extruders,one for,flexy
extruders,be used for,everything
extruders,be,used
glass bed finger clip,is,half on/half
answer1562,was,able
glass,was,just chipped
answer1562,level,bed
bed level,seems,okay
answer1562,have printed about,four things
user1563,hold off,trying
answer1564,am using,standard lulzbot taz profiles for cura
m106 commands,sprinkled with,values for layer
answer1564,looking at,gcode
answer1564,remember,reading at one point
first layers,adhere better to,heated bed
small fan duct,pointed at,head nozzle
could something wrong,is with,my fan mount
answer1564,also noticed at_time,morning
answer1564,put,tape
answer1564,heated up,extruder
answer1564,put tape in,there
answer1564,printed,parts
answer1564,printed parts at_time,last night
user1565,prevent,you
firmware,see,two extruders
honeywell thermistor,make,short jumper
firmware,will detect,thermistor
firmware,will detect thermistor on,second extruder harness
switch,is,mounted on same part as z-motor for taz 4
switch,is mounted to,x-motor
endstop screw,is mounted for,"taz 1,2,3"
switch,is mounted on,same part
axis,as level as,possible
z rods,taking,care
your z axis,is down,way
bubble level,get axis close to,as level to your frame
level,use,feeler gauge
bubble level,get,axis
level,ensure,nozzle
make,is,same distance from bed on sides
user1567,are,too high
sides,are,tight
motors,plug back,machine
user1567,have,issues
user1568,are using pronterface,interact with motors
user1568,are using,pronterface
user1568,use,little screen
user1568,use screen on,taz
your z-axis,is stop,switch compressed at point
answer1568,was in,your shoes
answer1568,'d remove,glass bed
answer1568,raise up,extruder head
answer1568,'d hope at,very least
sounds,is near,capacity
user1569,getting,ups/power conditioner
taz,uses,about 400 volt amps
extension cords,be rated though for,20 amp
answer1570,buy,some
answer1570,'m at,liberty disclose
half height motors,clear,second extruder
you length motor,sitting on,top
answer1570,have,guy on machine
answer1570,finish,taz upgrade
answer1570,turning out,neat things
answer1570,ordered,bearings
answer1570,caught up,finally
fan kit,is,nice upgrade
new pei sheets/stickers,designed to,our specs
answer1572,so set temp to,230
answer1572,so set,temp
answer1572,'m simply trying,print
small octopus abs,file from,sd card
machine,feed,filament
answer1572,feed,5 mm
extruder,is in,air
thing,jams,literally seconds
the,will clog,nozzle
the,printing with,pla
answer1573,have,extruders for abs
budaschnozzle,be,cooled
pla,will creep up,nozzle
air,is,split
answer1573,use,fan duct
fan,comes on,automatically at 50 deg celsius
roll,get,stuck
your idler springs,are,tight enough
answer1573,really tighten,mine
answer1573,use,0.4 extrusion width
triffid hunter guide,using,0.5 width
your best bet,use,standard 0.35 mm profiles
user1574,need,tweak
z axis,lead,screw centered above z axis stepper motor shaft
coupler,set,screws
user1576,want,have
leadscrew,should spin without,much side
i have done,create,gcode file with single line code
